date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:27	29512/29512	---MC-	200	added ('OK')	application/x-font-ttf	etag:%22No9O3g%22	http://bibliograph.net/assets/bootstrap3/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/assets/bootstrap3/fonts/glyphicons-halflings-regular.ttf	(from http://bibliograph.net/assets/bootstrap3/css/bootstrap.min.css)
11:18:32	206131/206131	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:33%20GMT	http://bibliograph.net/types	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/types.html	(from http://bibliograph.net/schemas)
11:18:32	11813/11813	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:33%20GMT	http://bibliograph.net/Agent	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Agent.html	(from http://bibliograph.net/schemas)
11:18:32	44930/44930	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:34%20GMT	http://bibliograph.net/Atlas	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Atlas.html	(from http://bibliograph.net/schemas)
11:18:32	23824/23824	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:34%20GMT	http://bibliograph.net/BlurayDisc	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/BlurayDisc.html	(from http://bibliograph.net/schemas)
11:18:33	44777/44777	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:34%20GMT	http://bibliograph.net/Chapter	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Chapter.html	(from http://bibliograph.net/schemas)
11:18:33	23959/23959	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:35%20GMT	http://bibliograph.net/CompactCassette	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/CompactCassette.html	(from http://bibliograph.net/schemas)
11:18:33	23783/23783	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:35%20GMT	http://bibliograph.net/CD	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/CD.html	(from http://bibliograph.net/schemas)
11:18:34	45022/45022	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:35%20GMT	http://bibliograph.net/ComputerFile	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ComputerFile.html	(from http://bibliograph.net/schemas)
11:18:34	23777/23777	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:35%20GMT	http://bibliograph.net/DVD	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/DVD.html	(from http://bibliograph.net/schemas)
11:18:34	44948/44948	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:36%20GMT	http://bibliograph.net/Globe	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Globe.html	(from http://bibliograph.net/schemas)
11:18:34	45232/45232	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:36%20GMT	http://bibliograph.net/Image	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Image.html	(from http://bibliograph.net/schemas)
11:18:35	45285/45285	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:36%20GMT	http://bibliograph.net/Kit	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Kit.html	(from http://bibliograph.net/schemas)
11:18:35	44943/44943	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:36%20GMT	http://bibliograph.net/LPRecord	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/LPRecord.html	(from http://bibliograph.net/schemas)
11:18:35	36465/36465	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:37%20GMT	http://bibliograph.net/Meeting	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Meeting.html	(from http://bibliograph.net/schemas)
11:18:35	23881/23881	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:37%20GMT	http://bibliograph.net/Microform	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Microform.html	(from http://bibliograph.net/schemas)
